#;SUSPENSO;APROBADO;NOTABLE;SOBRESALIENTE;OPCIÓN A MH
ESPAÑA;0-4.9;5-6.9;7-8.9;9-9.9;10
ALEMANIA;5;4-3.1;3.0-1.6;1.5-1.1;1.0 (1+)
AUSTRIA;5;4-3.1;3.0-1.6;1.5-1.1;1.0 (1+)
BÉLGICA;0-9.9;10-11.9;12-14.9;15-17.9;18-20
BULGARIA;2 (Slab);3 (Sreden);4 (Dobur);5 (Mnogo Dobur);6 (Otlichen)
CHIPRE;0-4.5;5-6.5;6.5-8.5;8.5-10;
DINAMARCA;00;02-4;7;10;12
ESLOVAQUIA;Nevyhovél;Dobrý;Vel'mi dobrý;Výborný;
ESLOVENIA;0-4.9 (Nezadostno-Nezadovoljava);5-6.9 (Zadostno-Zadovoljava);"7-7.9 (Dobro) ; 8-8.9 (Prav Dobro)";9-9.9 (Prav Dobro);10 (Odlicno)
ESTONIA;0 (F);"1 (Kasin/E/51% - 60%); 2 (Rahuldav/D/ 61% - 70%)";3 (Hea/C/ 71% - 80%);4 (Väga hea/ B/ 81% - 90%);5 (Suurepärane/ A/ 91% - 100%)
FINLANDIA;0-0.9 (Hylatty);"1-1.9 (Tyydyttävä); 2-2.5 (Erittäin Tyydyttävä)";"2.6-2.9 (Erittäin Tyydyttävä); 3-3.9 (Hyvä)";4-4.9 (Erittäin Hyvä);5 (Kiitettävä)
FRANCIA;0-9.9;10-11.9;12-14.9;15-17.9;18-20
GRECIA;0-4.5;5-6.5;6.5-8.5;8.5-10;
HUNGRÍA;1-1.9 (Elégtelen);2-2.9 (Elégséges);3-3.9 (Közepes);4-4.9 (Jó);5 (Jeles)
